,News Org,Date,Tweet,Compound,Positive,Negative,Neutral,Tweets Ago
0,BBC,Mon Jan 08 05:55:18 +0000 2018,China oil spill sparks fears of environmental disaster https://t.co/FhvXSbdwo3,-0.7845,0.0,0.504,0.496,1
1,BBC,Mon Jan 08 05:21:31 +0000 2018,Cardinal Pell: Man who made abuse allegation dies https://t.co/52ndskyYU6,-0.6369,0.0,0.656,0.344,2
2,BBC,Mon Jan 08 05:21:31 +0000 2018,Winter Olympics targeted by hackers says security firm https://t.co/PgIiXB2iyJ,0.34,0.231,0.769,0.0,3
3,BBC,Mon Jan 08 04:34:52 +0000 2018,"RT @BBCNewsAsia: #BTSARMY, this one's for you. 💕

What's in store for the princes of K-pop in 2018? https://t.co/a8AJEGnMwS

👨‍🎤👨‍🎤👨‍🎤👨‍🎤👨‍…",0.0,0.0,1.0,0.0,4
4,BBC,Mon Jan 08 04:08:44 +0000 2018,"RT @BBCBreaking: Three Billboards Outside Ebbing, Missouri wins 'Best Motion Picture - Drama'

#GoldenGlobes https://t.co/EYJJHWbjY6 https:…",0.836,0.378,0.622,0.0,5
5,BBC,Mon Jan 08 04:03:53 +0000 2018,"RT @BBCBreaking: Frances McDormand wins 'Best Actress in a Motion Picture - Drama' for her role in Three Billboards Outside Ebbing, Missour…",0.836,0.305,0.695,0.0,6
6,BBC,Mon Jan 08 03:53:58 +0000 2018,"RT @BBCBreaking: Gary Oldman wins 'Best Actor in a Motion Picture - Drama' 

#GoldenGlobes https://t.co/068UHmydVC https://t.co/aePg1yXPrl",0.836,0.397,0.603,0.0,7
7,BBC,Mon Jan 08 03:46:21 +0000 2018,"RT @BBCBreaking: Lady Bird wins 'Best Motion Picture - Comedy/Musical' 

#GoldenGlobes https://t.co/QrKvMydAKS https://t.co/8cBGj7mkcm",0.836,0.441,0.559,0.0,8
8,BBC,Mon Jan 08 03:38:11 +0000 2018,"RT @BBCBreaking: Saoirse Ronan wins 'Best Actress in a Comedy/Musical Motion Picture' for her role in Lady Bird

#GoldenGlobes https://t.co…",0.836,0.317,0.683,0.0,9
9,BBC,Mon Jan 08 03:34:06 +0000 2018,.@Oprah's acceptance speech for the Cecil B. DeMille Award at this year's #GoldenGlobes drew a standing ovation fro… https://t.co/CmO7nDRQpX,0.7579,0.289,0.711,0.0,10
